iter	Passed	Remaining
616	1330	825
617	1331	822
618	1332	820
619	1333	817
620	1334	814
621	1335	811
622	1336	808
623	1337	806
624	1338	803
625	1339	800
626	1340	797
627	1341	794
628	1342	792
629	1344	789
630	1345	786
631	1346	784
632	1347	781
633	1348	778
634	1349	775
635	1350	773
636	1351	770
637	1352	767
638	1353	764
639	1354	762
640	1356	759
641	1357	756
642	1358	754
643	1359	751
644	1360	748
645	1361	746
646	1362	743
647	1363	740
648	1364	737
649	1365	735
650	1365	732
651	1366	729
652	1367	726
653	1368	724
654	1369	721
655	1370	718
656	1371	716
657	1372	713
658	1374	711
659	1375	708
660	1376	705
661	1377	703
662	1378	700
663	1379	697
664	1379	695
665	1380	692
666	1381	689
667	1382	687
668	1383	684
669	1384	682
670	1385	679
671	1386	676
672	1387	674
673	1389	671
674	1390	669
675	1391	666
676	1392	664
677	1393	661
678	1394	659
679	1395	656
680	1396	654
681	1397	651
682	1398	649
683	1399	646
684	1400	643
685	1401	641
686	1402	638
687	1403	636
688	1404	634
689	1406	631
690	1407	629
691	1408	626
692	1409	624
693	1410	621
694	1411	619
695	1412	616
696	1413	614
697	1414	611
698	1415	609
699	1416	606
700	1417	604
701	1418	602
702	1419	599
703	1420	597
704	1421	595
705	1422	592
706	1423	590
707	1425	587
708	1426	585
709	1427	582
710	1428	580
711	1429	578
712	1430	575
713	1431	573
714	1432	570
715	1433	568
716	1434	566
717	1435	563
718	1436	561
719	1437	559
720	1438	556
721	1439	554
722	1440	551
723	1441	549
724	1442	547
725	1443	544
726	1444	542
727	1445	540
728	1446	537
729	1448	535
730	1449	533
731	1450	530
732	1451	528
733	1452	526
734	1453	523
735	1454	521
736	1455	519
737	1456	517
738	1457	514
739	1458	512
740	1459	510
741	1460	507
742	1461	505
743	1462	503
744	1463	500
745	1464	498
746	1465	496
747	1466	494
748	1467	491
749	1468	489
750	1469	487
751	1470	484
752	1471	482
753	1472	480
754	1473	478
755	1474	475
756	1475	473
757	1476	471
758	1477	469
759	1479	467
760	1480	464
761	1481	462
762	1482	460
763	1483	458
764	1484	455
765	1485	453
766	1486	451
767	1487	449
768	1488	447
769	1490	445
770	1491	443
771	1493	441
772	1494	438
773	1495	436
774	1497	434
775	1498	432
776	1499	430
777	1500	428
778	1501	425
779	1502	423
780	1503	421
781	1504	419
782	1505	417
783	1506	415
784	1507	412
785	1509	410
786	1510	408
787	1511	406
788	1512	404
789	1513	402
790	1514	400
791	1515	397
792	1516	395
793	1517	393
794	1518	391
795	1519	389
796	1521	387
797	1522	385
798	1523	383
799	1524	381
800	1525	378
801	1526	376
802	1527	374
803	1528	372
804	1528	370
805	1530	368
806	1531	366
807	1531	364
808	1532	361
809	1533	359
810	1534	357
811	1536	355
812	1537	353
813	1538	351
814	1539	349
815	1540	347
816	1541	345
817	1542	343
818	1543	341
819	1544	339
820	1545	336
821	1546	334
822	1547	332
823	1548	330
824	1549	328
825	1551	326
826	1552	324
827	1553	322
828	1554	320
829	1555	318
830	1556	316
831	1557	314
832	1558	312
833	1559	310
834	1560	308
835	1561	306
836	1562	304
837	1563	302
838	1564	300
839	1565	298
840	1566	296
841	1567	294
842	1568	292
843	1569	290
844	1570	288
845	1571	286
846	1572	284
847	1573	282
848	1574	280
849	1575	278
850	1576	276
851	1577	274
852	1578	272
853	1580	270
854	1581	268
855	1582	266
856	1583	264
857	1585	262
858	1586	260
859	1587	258
860	1588	256
861	1589	254
862	1590	252
863	1591	250
864	1592	248
865	1593	246
866	1595	244
867	1596	242
868	1597	240
869	1598	238
870	1599	236
871	1600	234
872	1601	232
873	1602	230
874	1603	229
875	1604	227
876	1605	225
877	1606	223
878	1607	221
879	1608	219
880	1609	217
881	1611	215
882	1612	213
883	1613	211
884	1613	209
885	1615	207
886	1616	205
887	1617	203
888	1618	202
889	1619	200
890	1620	198
891	1621	196
892	1622	194
893	1623	192
894	1624	190
895	1625	188
896	1626	186
897	1627	184
898	1629	183
899	1630	181
900	1631	179
901	1632	177
902	1633	175
903	1634	173
904	1635	171
905	1636	169
906	1637	167
907	1639	166
908	1640	164
909	1641	162
910	1642	160
911	1643	158
912	1644	156
913	1645	154
914	1646	152
915	1647	151
916	1648	149
917	1649	147
918	1650	145
919	1651	143
920	1652	141
921	1653	139
922	1655	138
923	1656	136
924	1657	134
925	1658	132
926	1659	130
927	1660	128
928	1661	126
929	1662	125
930	1663	123
931	1664	121
932	1665	119
933	1666	117
934	1667	115
935	1668	114
936	1669	112
937	1670	110
938	1672	108
939	1673	106
940	1675	105
941	1676	103
942	1677	101
943	1678	99
944	1679	97
945	1680	95
946	1681	94
947	1682	92
948	1684	90
949	1685	88
950	1686	86
951	1687	85
952	1688	83
953	1689	81
954	1690	79
955	1691	77
956	1692	76
957	1693	74
958	1694	72
959	1696	70
960	1697	68
961	1698	67
962	1699	65
963	1701	63
964	1702	61
965	1703	59
966	1704	58
967	1705	56
968	1706	54
969	1707	52
970	1708	51
971	1709	49
972	1710	47
973	1712	45
974	1713	43
975	1715	42
976	1716	40
977	1717	38
978	1718	36
979	1720	35
980	1721	33
981	1722	31
982	1723	29
983	1725	28
984	1726	26
985	1728	24
986	1729	22
987	1730	21
988	1732	19
989	1733	17
990	1734	15
991	1735	13
992	1736	12
993	1738	10
994	1739	8
995	1740	6
996	1741	5
997	1742	3
998	1745	1
999	1746	0
